case_id;activity;timestamp;resource
I00011;Receive Invoice;2024-05-01 09:30:00;System
I00011;Register Invoice;2024-05-01 10:07:00;Clerk_B
I00011;Enter Invoice Data;2024-05-01 10:45:00;DataEntry_3
I00011;Validate Invoice;2024-05-01 14:37:00;Clerk_B
I00011;Approve Invoice;2024-05-01 20:36:00;Manager_2
I00011;Enter into ERP;2024-05-01 20:56:00;DataEntry_1
I00011;Execute Payment;2024-05-02 23:56:00;Finance_A
I00011;Archive;2024-05-03 00:15:00;DMS_System
I00012;Receive Invoice;2024-03-08 09:06:00;System
I00012;Register Invoice;2024-03-08 10:09:00;Clerk_A
I00012;Enter Invoice Data;2024-03-08 10:26:00;DataEntry_1
I00012;Validate Invoice;2024-03-08 11:25:00;Clerk_A
I00012;Approve Invoice;2024-03-08 18:30:00;Manager_2
I00012;Enter into ERP;2024-03-08 19:30:00;DataEntry_1
I00012;Execute Payment;2024-03-11 11:30:00;Finance_A
I00012;Archive;2024-03-11 11:54:00;DMS_System
I00013;Receive Invoice;2024-03-25 15:02:00;System
I00013;Register Invoice;2024-03-25 15:19:00;Clerk_B
I00013;Enter Invoice Data;2024-03-25 15:55:00;DataEntry_1
I00013;Validate Invoice;2024-03-25 17:22:00;Clerk_B
I00013;Approve Invoice;2024-03-25 21:31:00;Manager_2
I00013;Enter into ERP;2024-03-25 22:52:00;DataEntry_2
I00013;Execute Payment;2024-03-26 15:52:00;Finance_A
I00013;Archive;2024-03-26 16:18:00;DMS_System
I00014;Receive Invoice;2024-02-27 18:47:00;System
I00014;Register Invoice;2024-02-27 19:04:00;Clerk_A
I00014;Enter Invoice Data;2024-02-27 19:36:00;DataEntry_3
I00014;Validate Invoice;2024-02-27 22:57:00;Clerk_A
I00014;Approve Invoice;2024-02-28 09:13:00;Manager_1
I00014;Enter into ERP;2024-02-28 09:47:00;DataEntry_3
I00014;Execute Payment;2024-03-03 04:47:00;Finance_A
I00014;Archive;2024-03-03 05:14:00;DMS_System
I00015;Receive Invoice;2024-02-27 15:45:00;System
I00015;Register Invoice;2024-02-27 16:08:00;Clerk_B
I00015;Enter Invoice Data;2024-02-27 16:36:00;DataEntry_3
I00015;Validate Invoice;2024-02-27 20:36:00;Clerk_B
I00015;Compliance Check;2024-02-27 20:59:00;Finance_A
I00015;Approve Invoice;2024-02-28 01:20:00;Manager_1
I00015;Enter into ERP;2024-02-28 02:46:00;DataEntry_3
I00015;Execute Payment;2024-03-02 18:46:00;Finance_A
I00015;Archive;2024-03-02 19:04:00;DMS_System
I00016;Receive Invoice;2024-03-03 15:17:00;System
I00016;Register Invoice;2024-03-03 16:26:00;Clerk_B
I00016;Enter Invoice Data;2024-03-03 17:13:00;DataEntry_3
I00016;Validate Invoice;2024-03-03 21:04:00;Clerk_B
I00016;Request Info;2024-03-03 22:28:00;Clerk_B
I00016;Receive Info;2024-03-06 19:28:00;Vendor
I00016;Validate Invoice;2024-03-06 21:58:00;Clerk_B
I00016;Approve Invoice;2024-03-07 08:53:00;Manager_2
I00016;Enter into ERP;2024-03-07 09:34:00;DataEntry_3
I00016;Execute Payment;2024-03-08 13:34:00;Finance_B
I00016;Archive;2024-03-08 13:49:00;DMS_System
I00017;Receive Invoice;2024-04-02 23:02:00;System
I00017;Register Invoice;2024-04-02 23:56:00;Clerk_D
I00017;Enter Invoice Data;2024-04-03 00:50:00;DataEntry_1
I00017;Validate Invoice;2024-04-03 02:05:00;Clerk_D
I00017;Approve Invoice;2024-04-03 04:43:00;Manager_2
I00017;Enter into ERP;2024-04-03 05:58:00;DataEntry_2
I00017;Execute Payment;2024-04-06 05:58:00;Finance_A
I00017;Archive;2024-04-06 06:24:00;DMS_System
I00018;Receive Invoice;2024-02-20 13:04:00;System
I00018;Register Invoice;2024-02-20 13:30:00;Clerk_D
I00018;Enter Invoice Data;2024-02-20 13:50:00;DataEntry_3
I00018;Validate Invoice;2024-02-20 16:37:00;Clerk_D
I00018;Approve Invoice;2024-02-21 02:40:00;Manager_2
I00018;Enter into ERP;2024-02-21 03:02:00;DataEntry_3
I00018;Execute Payment;2024-02-24 12:02:00;Finance_B
I00018;Archive;2024-02-24 12:12:00;DMS_System
I00019;Receive Invoice;2024-03-09 02:18:00;System
I00019;Register Invoice;2024-03-09 02:54:00;Clerk_A
I00019;Enter Invoice Data;2024-03-09 03:40:00;DataEntry_1
I00019;Validate Invoice;2024-03-09 07:35:00;Clerk_A
I00019;Approve Invoice;2024-03-09 15:54:00;Manager_2
I00019;Enter into ERP;2024-03-09 17:14:00;DataEntry_2
I00019;Execute Payment;2024-03-12 19:14:00;Finance_B
I00019;Archive;2024-03-12 19:23:00;DMS_System
I00019;Validate Invoice;2024-03-12 19:23:20;Clerk_A
I00020;Receive Invoice;2024-04-01 22:24:00;System
I00020;Register Invoice;2024-04-01 23:50:00;Clerk_B
I00020;Validate Invoice;2024-04-02 00:49:00;Clerk_B
I00020;Approve Invoice;2024-04-02 09:20:00;Manager_2
I00020;Enter into ERP;2024-04-02 10:46:00;DataEntry_1
I00020;Execute Payment;2024-04-05 15:46:00;Finance_B
I00020;Archive;2024-04-05 15:57:00;DMS_System
I00020;Validate Invoice;2024-04-05 15:57:20;Clerk_B
I00021;Receive Invoice;2024-03-14 02:04:00;System
I00021;Register Invoice;2024-03-14 03:11:00;Clerk_A
I00021;Validate Invoice;2024-03-14 05:03:00;Clerk_A
I00021;Approve Invoice;2024-03-14 11:02:00;Manager_1
I00021;Enter into ERP;2024-03-14 12:38:00;DataEntry_2
I00021;Execute Payment;2024-03-15 14:38:00;Finance_A
I00021;Archive;2024-03-15 15:04:00;DMS_System
I00022;Receive Invoice;2024-03-05 19:37:00;System
I00022;Register Invoice;2024-03-05 20:36:00;Clerk_A
I00022;Enter Invoice Data;2024-03-05 21:36:00;DataEntry_2
I00022;Validate Invoice;2024-03-06 01:26:00;Clerk_A
I00022;Approve Invoice;2024-03-06 04:29:00;Manager_1
I00022;Enter into ERP;2024-03-06 05:06:00;DataEntry_2
I00022;Execute Payment;2024-03-08 11:06:00;Finance_B
I00022;Archive;2024-03-08 11:15:00;DMS_System
I00023;Receive Invoice;2024-04-12 13:54:00;System
I00023;Register Invoice;2024-04-12 14:32:00;Clerk_A
I00023;Enter Invoice Data;2024-04-12 14:56:00;DataEntry_2
I00023;Validate Invoice;2024-04-12 18:41:00;Clerk_A
I00023;Approve Invoice;2024-04-13 00:41:00;Manager_2
I00023;Enter into ERP;2024-04-13 02:08:00;DataEntry_3
I00023;Execute Payment;2024-04-14 02:08:00;Finance_A
I00023;Archive;2024-04-14 02:15:00;DMS_System
I00024;Receive Invoice;2024-03-06 14:27:00;System
I00024;Register Invoice;2024-03-06 15:48:00;Clerk_B
I00024;Validate Invoice;2024-03-06 16:52:00;Clerk_B
I00024;Request Info;2024-03-06 17:48:00;Clerk_B
I00024;Receive Info;2024-03-08 19:48:00;Vendor
I00024;Validate Invoice;2024-03-08 20:26:00;Clerk_B
I00024;Approve Invoice;2024-03-08 22:20:00;Manager_1
I00024;Enter into ERP;2024-03-08 23:44:00;DataEntry_3
I00024;Execute Payment;2024-03-12 08:44:00;Finance_B
I00024;Archive;2024-03-12 09:06:00;DMS_System
I00025;Receive Invoice;2024-04-07 15:57:00;System
I00025;Register Invoice;2024-04-07 16:45:00;Clerk_C
I00025;Enter Invoice Data;2024-04-07 17:03:00;DataEntry_3
I00025;Validate Invoice;2024-04-07 18:10:00;Clerk_C
I00025;Request Info;2024-04-07 19:06:00;Clerk_C
I00025;Receive Info;2024-04-09 23:06:00;Vendor
I00025;Validate Invoice;2024-04-10 00:04:00;Clerk_C
I00025;Approve Invoice;2024-04-10 11:14:00;Manager_1
I00025;Enter into ERP;2024-04-10 12:34:00;DataEntry_2
I00025;Execute Payment;2024-04-13 23:34:00;Finance_A
I00025;Archive;2024-04-13 23:44:00;DMS_System
I00026;Receive Invoice;2024-05-05 17:17:00;System
I00026;Register Invoice;2024-05-05 17:42:00;Clerk_C
I00026;Enter Invoice Data;2024-05-05 18:06:00;DataEntry_3
I00026;Validate Invoice;2024-05-05 21:54:00;Clerk_C
I00026;Approve Invoice;2024-05-06 04:16:00;Manager_2
I00026;Enter into ERP;2024-05-06 06:02:00;DataEntry_3
I00026;Execute Payment;2024-05-09 13:02:00;Finance_A
I00026;Archive;2024-05-09 13:11:00;DMS_System
I00027;Receive Invoice;2024-03-19 12:57:00;System
I00027;Register Invoice;2024-03-19 14:13:00;Clerk_A
I00027;Enter Invoice Data;2024-03-19 14:34:00;DataEntry_1
I00027;Validate Invoice;2024-03-19 14:56:00;Clerk_A
I00027;Compliance Check;2024-03-19 15:22:00;Finance_B
I00027;Approve Invoice;2024-03-19 18:51:00;Manager_2
I00027;Enter into ERP;2024-03-19 19:26:00;DataEntry_2
I00027;Execute Payment;2024-03-23 13:26:00;Finance_A
I00027;Archive;2024-03-23 13:44:00;DMS_System
I00028;Receive Invoice;2024-04-29 06:04:00;System
I00028;Register Invoice;2024-04-29 06:17:00;Clerk_D
I00028;Enter Invoice Data;2024-04-29 07:00:00;DataEntry_2
I00028;Validate Invoice;2024-04-29 09:22:00;Clerk_D
I00028;Approve Invoice;2024-04-29 16:01:00;Manager_1
I00028;Enter into ERP;2024-04-29 17:44:00;DataEntry_3
I00028;Execute Payment;2024-05-01 07:44:00;Finance_B
I00028;Archive;2024-05-01 08:03:00;DMS_System
I00029;Receive Invoice;2024-04-07 02:18:00;System
I00029;Register Invoice;2024-04-07 03:12:00;Clerk_A
I00029;Enter Invoice Data;2024-04-07 03:49:00;DataEntry_3
I00029;Validate Invoice;2024-04-07 05:44:00;Clerk_A
I00029;Approve Invoice;2024-04-07 07:34:00;Manager_2
I00029;Enter into ERP;2024-04-07 07:52:00;DataEntry_1
I00029;Execute Payment;2024-04-09 07:52:00;Finance_A
I00029;Archive;2024-04-09 08:01:00;DMS_System
I00030;Receive Invoice;2024-02-17 07:46:00;System
I00030;Register Invoice;2024-02-17 08:18:00;Clerk_D
I00030;Enter Invoice Data;2024-02-17 08:49:00;DataEntry_3
I00030;Validate Invoice;2024-02-17 10:01:00;Clerk_D
I00030;Approve Invoice;2024-02-17 16:13:00;Manager_2
I00030;Enter into ERP;2024-02-17 17:44:00;DataEntry_3
I00030;Execute Payment;2024-02-18 08:44:00;Finance_A
I00030;Archive;2024-02-18 09:06:00;DMS_System
I00031;Receive Invoice;2024-02-02 15:36:00;System
I00031;Register Invoice;2024-02-02 16:09:00;Clerk_A
I00031;Enter Invoice Data;2024-02-02 17:01:00;DataEntry_2
I00031;Validate Invoice;2024-02-02 18:27:00;Clerk_A
I00031;Approve Invoice;2024-02-03 03:23:00;Manager_1
I00031;Enter into ERP;2024-02-03 04:44:00;DataEntry_1
I00031;Execute Payment;2024-02-05 19:44:00;Finance_B
I00031;Archive;2024-02-05 20:10:00;DMS_System
I00032;Receive Invoice;2024-02-24 17:12:00;System
I00032;Register Invoice;2024-02-24 18:16:00;Clerk_D
I00032;Enter Invoice Data;2024-02-24 18:26:00;DataEntry_1
I00032;Validate Invoice;2024-02-24 21:29:00;Clerk_D
I00032;Approve Invoice;2024-02-25 05:18:00;Manager_2
I00032;Enter into ERP;2024-02-25 06:47:00;DataEntry_2
I00032;Execute Payment;2024-02-29 23:47:00;Finance_A
I00032;Archive;2024-03-01 00:10:00;DMS_System
I00033;Receive Invoice;2024-03-31 08:22:00;System
I00033;Register Invoice;2024-03-31 09:35:00;Clerk_B
I00033;Validate Invoice;2024-03-31 12:23:00;Clerk_B
I00033;Compliance Check;2024-03-31 12:48:00;Finance_B
I00033;Approve Invoice;2024-04-01 00:10:00;Manager_1
I00033;Enter into ERP;2024-04-01 02:06:00;DataEntry_1
I00033;Execute Payment;2024-04-02 02:06:00;Finance_B
I00033;Archive;2024-04-02 02:15:00;DMS_System
I00034;Receive Invoice;2024-03-25 11:23:00;System
I00034;Register Invoice;2024-03-25 11:53:00;Clerk_B
I00034;Validate Invoice;2024-03-25 14:07:00;Clerk_B
I00034;Approve Invoice;2024-03-25 18:55:00;Manager_1
I00034;Enter into ERP;2024-03-25 20:21:00;DataEntry_1
I00034;Execute Payment;2024-03-29 09:21:00;Finance_A
I00034;Archive;2024-03-29 09:36:00;DMS_System
I00035;Receive Invoice;2024-02-13 15:39:00;System
I00035;Register Invoice;2024-02-13 16:18:00;Clerk_A
I00035;Enter Invoice Data;2024-02-13 16:43:00;DataEntry_1
I00035;Validate Invoice;2024-02-13 20:16:00;Clerk_A
I00035;Compliance Check;2024-02-13 20:41:00;Finance_B
I00035;Approve Invoice;2024-02-14 01:14:00;Manager_2
I00035;Enter into ERP;2024-02-14 03:11:00;DataEntry_1
I00035;Execute Payment;2024-02-15 14:11:00;Finance_B
I00035;Archive;2024-02-15 14:36:00;DMS_System
I00036;Receive Invoice;2024-04-22 11:18:00;System
I00036;Register Invoice;2024-04-22 12:00:00;Clerk_A
I00036;Enter Invoice Data;2024-04-22 12:12:00;DataEntry_3
I00036;Validate Invoice;2024-04-22 15:18:00;Clerk_A
I00036;Request Info;2024-04-22 16:01:00;Clerk_A
I00036;Receive Info;2024-04-24 17:01:00;Vendor
I00036;Validate Invoice;2024-04-24 17:44:00;Clerk_A
I00036;Enter into ERP;2024-04-24 18:31:00;DataEntry_1
I00036;Approve Invoice;2024-04-24 19:02:00;Manager_1
I00036;Enter into ERP;2024-04-24 19:21:00;DataEntry_3
I00036;Execute Payment;2024-04-29 19:21:00;Finance_B
I00036;Archive;2024-04-29 19:41:00;DMS_System
I00037;Receive Invoice;2024-03-05 00:52:00;System
I00037;Register Invoice;2024-03-05 01:05:00;Clerk_D
I00037;Validate Invoice;2024-03-05 04:08:00;Clerk_D
I00037;Approve Invoice;2024-03-05 09:16:00;Manager_1
I00037;Enter into ERP;2024-03-05 09:56:00;DataEntry_2
I00037;Execute Payment;2024-03-10 08:56:00;Finance_A
I00037;Archive;2024-03-10 09:14:00;DMS_System
I00038;Receive Invoice;2024-03-10 19:48:00;System
I00038;Register Invoice;2024-03-10 20:12:00;Clerk_C
I00038;Enter Invoice Data;2024-03-10 21:04:00;DataEntry_3
I00038;Validate Invoice;2024-03-11 00:11:00;Clerk_C
I00038;Compliance Check;2024-03-11 00:39:00;Finance_B
I00038;Request Info;2024-03-11 01:17:00;Clerk_C
I00038;Receive Info;2024-03-13 23:17:00;Vendor
I00038;Validate Invoice;2024-03-14 01:34:00;Clerk_C
I00038;Approve Invoice;2024-03-14 06:21:00;Manager_1
I00038;Enter into ERP;2024-03-14 07:29:00;DataEntry_1
I00038;Execute Payment;2024-03-17 07:29:00;Finance_B
I00038;Archive;2024-03-17 07:36:00;DMS_System
I00039;Receive Invoice;2024-04-22 13:00:00;System
I00039;Register Invoice;2024-04-22 13:22:00;Clerk_A
I00039;Validate Invoice;2024-04-22 14:16:00;Clerk_A
I00039;Compliance Check;2024-04-22 14:39:00;Finance_A
I00039;Approve Invoice;2024-04-22 23:51:00;Manager_2
I00039;Enter into ERP;2024-04-23 01:40:00;DataEntry_3
I00039;Execute Payment;2024-04-27 07:40:00;Finance_A
I00039;Archive;2024-04-27 08:00:00;DMS_System
I00040;Receive Invoice;2024-03-07 20:40:00;System
I00040;Register Invoice;2024-03-07 21:19:00;Clerk_C
I00040;Enter Invoice Data;2024-03-07 21:50:00;DataEntry_2
I00040;Validate Invoice;2024-03-08 00:51:00;Clerk_C
I00040;Approve Invoice;2024-03-08 04:25:00;Manager_2
I00040;Enter into ERP;2024-03-08 04:42:00;DataEntry_3
I00040;Execute Payment;2024-03-08 08:42:00;Finance_B
I00040;Archive;2024-03-08 08:53:00;DMS_System
I00041;Receive Invoice;2024-04-16 01:12:00;System
I00041;Register Invoice;2024-04-16 02:35:00;Clerk_D
I00041;Validate Invoice;2024-04-16 03:26:00;Clerk_D
I00041;Request Info;2024-04-16 05:05:00;Clerk_D
I00041;Receive Info;2024-04-17 10:05:00;Vendor
I00041;Validate Invoice;2024-04-17 10:34:00;Clerk_D
I00041;Approve Invoice;2024-04-17 15:08:00;Manager_2
I00041;Enter into ERP;2024-04-17 15:43:00;DataEntry_1
I00041;Execute Payment;2024-04-19 20:43:00;Finance_B
I00041;Archive;2024-04-19 21:00:00;DMS_System
I00042;Receive Invoice;2024-02-11 10:37:00;System
I00042;Register Invoice;2024-02-11 11:40:00;Clerk_A
I00042;Enter Invoice Data;2024-02-11 12:07:00;DataEntry_3
I00042;Validate Invoice;2024-02-11 15:31:00;Clerk_A
I00042;Compliance Check;2024-02-11 15:44:00;Finance_B
I00042;Approve Invoice;2024-02-11 22:01:00;Manager_2
I00042;Enter into ERP;2024-02-11 23:48:00;DataEntry_3
I00042;Execute Payment;2024-02-15 02:48:00;Finance_B
I00042;Archive;2024-02-15 03:04:00;DMS_System
I00043;Receive Invoice;2024-02-29 19:37:00;System
I00043;Register Invoice;2024-02-29 20:55:00;Clerk_D
I00043;Enter Invoice Data;2024-02-29 21:22:00;DataEntry_3
I00043;Validate Invoice;2024-02-29 22:02:00;Clerk_D
I00043;Approve Invoice;2024-02-29 23:36:00;Manager_2
I00043;Enter into ERP;2024-03-01 00:26:00;DataEntry_1
I00043;Execute Payment;2024-03-01 20:26:00;Finance_B
I00043;Archive;2024-03-01 20:33:00;DMS_System
I00044;Receive Invoice;2024-02-22 00:35:00;System
I00044;Register Invoice;2024-02-22 00:59:00;Clerk_D
I00044;Validate Invoice;2024-02-22 04:08:00;Clerk_D
I00044;Compliance Check;2024-02-22 04:31:00;Finance_B
I00044;Approve Invoice;2024-02-22 05:44:00;Manager_1
I00044;Enter into ERP;2024-02-22 06:41:00;DataEntry_3
I00044;Execute Payment;2024-02-27 01:41:00;Finance_B
I00044;Archive;2024-02-27 02:03:00;DMS_System
I00045;Receive Invoice;2024-03-22 01:01:00;System
I00045;Register Invoice;2024-03-22 02:13:00;Clerk_B
I00045;Enter Invoice Data;2024-03-22 03:00:00;DataEntry_1
I00045;Validate Invoice;2024-03-22 05:08:00;Clerk_B
I00045;Approve Invoice;2024-03-22 14:12:00;Manager_1
I00045;Enter into ERP;2024-03-22 15:18:00;DataEntry_2
I00045;Execute Payment;2024-03-27 00:18:00;Finance_B
I00045;Archive;2024-03-27 00:37:00;DMS_System
I00045;Validate Invoice;2024-03-27 00:37:20;Clerk_B
I00046;Receive Invoice;2024-03-06 07:55:00;System
I00046;Register Invoice;2024-03-06 08:55:00;Clerk_A
I00046;Enter Invoice Data;2024-03-06 09:06:00;DataEntry_1
I00046;Validate Invoice;2024-03-06 10:31:00;Clerk_A
I00046;Approve Invoice;2024-03-06 16:21:00;Manager_1
I00046;Enter into ERP;2024-03-06 17:31:00;DataEntry_1
I00046;Execute Payment;2024-03-11 05:31:00;Finance_B
I00046;Archive;2024-03-11 05:55:00;DMS_System
I00047;Receive Invoice;2024-04-29 10:41:00;System
I00047;Register Invoice;2024-04-29 11:30:00;Clerk_A
I00047;Validate Invoice;2024-04-29 13:22:00;Clerk_A
I00047;Compliance Check;2024-04-29 13:36:00;Finance_A
I00047;Request Info;2024-04-29 14:07:00;Clerk_A
I00047;Receive Info;2024-05-02 02:07:00;Vendor
I00047;Validate Invoice;2024-05-02 03:41:00;Clerk_A
I00047;Approve Invoice;2024-05-02 14:06:00;Manager_2
I00047;Enter into ERP;2024-05-02 14:26:00;DataEntry_2
I00047;Execute Payment;2024-05-07 08:26:00;Finance_B
I00047;Archive;2024-05-07 08:33:00;DMS_System
I00048;Receive Invoice;2024-02-05 09:51:00;System
I00048;Register Invoice;2024-02-05 10:02:00;Clerk_D
I00048;Enter Invoice Data;2024-02-05 10:49:00;DataEntry_3
I00048;Validate Invoice;2024-02-05 11:52:00;Clerk_D
I00048;Request Info;2024-02-05 12:24:00;Clerk_D
I00048;Receive Info;2024-02-07 08:24:00;Vendor
I00048;Validate Invoice;2024-02-07 09:31:00;Clerk_D
I00048;Approve Invoice;2024-02-07 12:58:00;Manager_1
I00048;Enter into ERP;2024-02-07 14:04:00;DataEntry_3
I00048;Execute Payment;2024-02-07 21:04:00;Finance_A
I00048;Archive;2024-02-07 21:33:00;DMS_System
I00049;Receive Invoice;2024-03-08 21:49:00;System
I00049;Register Invoice;2024-03-08 22:26:00;Clerk_A
I00049;Enter Invoice Data;2024-03-08 22:36:00;DataEntry_3
I00049;Validate Invoice;2024-03-08 23:06:00;Clerk_A
I00049;Approve Invoice;2024-03-09 08:02:00;Manager_1
I00049;Enter into ERP;2024-03-09 08:22:00;DataEntry_3
I00049;Execute Payment;2024-03-11 05:22:00;Finance_B
I00049;Archive;2024-03-11 05:45:00;DMS_System
I00050;Receive Invoice;2024-02-19 16:36:00;System
I00050;Register Invoice;2024-02-19 18:01:00;Clerk_C
I00050;Validate Invoice;2024-02-19 18:39:00;Clerk_C
I00050;Request Info;2024-02-19 20:03:00;Clerk_C
I00050;Receive Info;2024-02-21 23:03:00;Vendor
I00050;Validate Invoice;2024-02-22 00:53:00;Clerk_C
I00050;Approve Invoice;2024-02-22 09:37:00;Manager_2
I00050;Enter into ERP;2024-02-22 10:57:00;DataEntry_3
I00050;Execute Payment;2024-02-25 08:57:00;Finance_A
I00050;Archive;2024-02-25 09:05:00;DMS_System
I00051;Receive Invoice;2024-04-11 05:28:00;System
I00051;Register Invoice;2024-04-11 06:51:00;Clerk_C
I00051;Enter Invoice Data;2024-04-11 07:05:00;DataEntry_3
I00051;Validate Invoice;2024-04-11 09:11:00;Clerk_C
I00051;Approve Invoice;2024-04-11 14:53:00;Manager_2
I00051;Enter into ERP;2024-04-11 15:47:00;DataEntry_2
I00051;Execute Payment;2024-04-15 03:47:00;Finance_A
I00051;Archive;2024-04-15 04:06:00;DMS_System
I00052;Receive Invoice;2024-03-19 21:09:00;System
I00052;Register Invoice;2024-03-19 22:36:00;Clerk_C
I00052;Enter Invoice Data;2024-03-19 22:55:00;DataEntry_1
I00052;Validate Invoice;2024-03-20 02:31:00;Clerk_C
I00052;Approve Invoice;2024-03-20 06:08:00;Manager_2
I00052;Enter into ERP;2024-03-20 06:58:00;DataEntry_1
I00052;Execute Payment;2024-03-22 10:58:00;Finance_A
I00052;Archive;2024-03-22 11:05:00;DMS_System
I00053;Receive Invoice;2024-05-07 18:42:00;System
I00053;Register Invoice;2024-05-07 20:03:00;Clerk_B
I00053;Validate Invoice;2024-05-07 23:33:00;Clerk_B
I00053;Approve Invoice;2024-05-08 01:24:00;Manager_1
